industry,sector,factor_metric,factor_display_name,effect_direction,factor_category,threshold
塑料,化工,RND,RND,Positive,R&D,0.5
塑料,化工,RND_growth,RND_growth,Positive,R&D,0.5
橡胶,化工,DivYield,Dividend_Yield,Positive,Payout,0.5
橡胶,化工,RND,RND,Positive,R&D,0.5
橡胶,化工,RND_growth,RND_growth,Positive,R&D,0.5
石油化工,化工,DivYield,Dividend_Yield,Positive,Payout,0.5
石油化工,化工,RND,RND,Positive,R&D,0.5
石油化工,化工,RND_growth,RND_growth,Positive,R&D,0.5
中药,医疗保健,profitability,profitability,Positive,Profitability,0.5
中药,医疗保健,DivYield_growth,Dividend_Yield,Positive,Payout,0.5
中药,医疗保健,RND,RND,Positive,R&D,0.5
中药,医疗保健,RND_growth,RND_growth,Positive,R&D,0.25
化学制剂,医疗保健,RND,RND,Positive,R&D,0.5
化学制剂,医疗保健,RND_growth,RND_growth,Positive,R&D,0.5
化学制剂,医疗保健,profitability,profitability,Positive,Profitability,0.5
化学原料药,医疗保健,profit_growth_variability,profit_growth_variability,Negative,Earnings Variability,0.5
化学原料药,医疗保健,RND,RND,Positive,R&D,0.5
化学原料药,医疗保健,RND_growth,RND_growth,Positive,R&D,0.5
化学原料药,医疗保健,profitability,profitability,Positive,Profitability,0.25
医疗器械,医疗保健,noncashsales_growth_TTM,earnings_inflation,Negative,Earnings Management,0.5
医疗器械,医疗保健,profit_variability,profit_variability,Negative,Earnings Variability,0.5
医疗器械,医疗保健,profitability,profitability,Positive,Profitability,0.5
医疗器械,医疗保健,RND,RND,Positive,R&D,0.25
医疗器械,医疗保健,RND_growth,RND_growth,Positive,R&D,0.25
医疗服务,医疗保健,RND,RND,Positive,R&D,0.5
医疗服务,医疗保健,RND_growth,RND_growth,Positive,R&D,0.5
医疗服务,医疗保健,ARTOS_Semi,earnings_inflation,Negative,Earnings Management,0.5
医疗服务,医疗保健,profitability,profitability,Positive,Profitability,0.25
医疗服务,医疗保健,sales_TTM,sales,Positive,Sales,0.25
医药商业,医疗保健,profit_growth_variability,profit_growth_variability,Negative,Earnings Variability,0.5
医药商业,医疗保健,RND,RND,Positive,R&D,0.5
医药商业,医疗保健,RND_growth,RND_growth,Positive,R&D,0.5
医药商业,医疗保健,profitability,profitability,Positive,Profitability,0.25
生物制品,医疗保健,cashflow_generation_Semi,cashflow_generation,Positive,Profitability,0.5
生物制品,医疗保健,RND_growth,RND_growth,Positive,R&D,0.5
生物制品,医疗保健,sales_Semi,sales,Positive,Sales,0.5
生物制品,医疗保健,RND,RND,Positive,R&D,0.25
生物制品,医疗保健,profitability,profitability,Positive,Profitability,0.25
专业连锁,商贸,DivYield,Dividend_Yield,Positive,Payout,0.5
专业连锁,商贸,Leverage,Solvency,Negative,Solvency,0.5
专业连锁,商贸,profitability,profitability,Positive,Profitability,0.5
专业连锁,商贸,cashflow_generation_Semi,cashflow_generation,Positive,Profitability,0.25
专业连锁,商贸,sales_Semi,sales,Positive,Sales,0.25
商业物业经营,商贸,noncashsales_growth,earnings_inflation,Negative,Earnings Management,0.5
商业物业经营,商贸,profitability,profitability,Positive,Profitability,0.5
商业物业经营,商贸,cashflow_generation_Semi,cashflow_generation,Positive,Profitability,0.5
商业物业经营,商贸,sales_Semi,sales,Positive,Sales,0.25
多业态零售,商贸,noncashsales_growth,earnings_inflation,Negative,Earnings Management,0.5
多业态零售,商贸,profitability,profitability,Positive,Profitability,0.5
多业态零售,商贸,cashflow_generation_Semi,cashflow_generation,Positive,Profitability,0.5
多业态零售,商贸,sales_Semi,sales,Positive,Sales,0.25
百货,商贸,DivYield,Dividend_Yield,Positive,Payout,0.5
百货,商贸,Leverage,Solvency,Negative,Solvency,0.5
百货,商贸,profitability,profitability,Positive,Profitability,0.5
百货,商贸,cashflow_generation_Semi,cashflow_generation,Positive,Profitability,0.25
百货,商贸,sales_Semi,sales,Positive,Sales,0.25
贸易,商贸,noncashsales_growth,earnings_inflation,Negative,Earnings Management,0.5
贸易,商贸,profitability,profitability,Positive,Profitability,0.5
贸易,商贸,cashflow_generation_Semi,cashflow_generation,Positive,Profitability,0.5
贸易,商贸,sales_Semi,sales,Positive,Sales,0.25
超市,商贸,DebtTA,Solvency,Negative,Solvency,0.5
超市,商贸,DivYield,Dividend_Yield,Positive,Payout,0.5
超市,商贸,profitability,profitability,Positive,Profitability,0.5
超市,商贸,cashflow_generation_Semi,cashflow_generation,Positive,Profitability,0.25
超市,商贸,sales_Semi,sales,Positive,Sales,0.25
乳品,大消费,RND,RND,Positive,R&D,0.5
乳品,大消费,RND_growth,RND_growth,Positive,R&D,0.5
乳品,大消费,cashflow_growth_TTM,cashflow_growth,Positive,Growth,0.5
乳品,大消费,profitability_growth,profitability_growth,Positive,Growth,0.25
乳品,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
乳品,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
其他交运设备,大消费,DivYield,Dividend_Yield,Positive,Payout,0.5
其他交运设备,大消费,RND,RND,Positive,R&D,0.5
其他交运设备,大消费,RND_growth,RND_growth,Positive,R&D,0.5
其他交运设备,大消费,cashflow_growth_TTM,cashflow_growth,Positive,Growth,0.25
其他交运设备,大消费,profitability_growth,profitability_growth,Positive,Growth,0.25
其他交运设备,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
其他交运设备,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
其他饮料,大消费,cashflow_growth_TTM,cashflow_growth,Positive,Growth,0.5
其他饮料,大消费,profitability_growth,profitability_growth,Positive,Growth,0.5
其他饮料,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.5
其他饮料,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
其他饮料,大消费,RND,RND,Positive,R&D,0.25
其他饮料,大消费,RND_growth,RND_growth,Positive,R&D,0.25
其他饮料,大消费,sales_Semi,sales,Positive,Sales,0.25
包装印刷,大消费,DivYield_growth,Dividend_Yield,Positive,Payout,0.5
包装印刷,大消费,RND,RND,Positive,R&D,0.5
包装印刷,大消费,RND_growth,RND_growth,Positive,R&D,0.5
包装印刷,大消费,cashflow_growth_TTM,cashflow_growth,Positive,Growth,0.25
包装印刷,大消费,profitability_growth,profitability_growth,Positive,Growth,0.25
包装印刷,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
包装印刷,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
家具,大消费,cashflow_growth,cashflow_growth,Positive,Growth,0.5
家具,大消费,DivYield,Dividend_Yield,Positive,Payout,0.5
家具,大消费,RND,RND,Positive,R&D,0.5
家具,大消费,RND_growth,RND_growth,Positive,R&D,0.25
家具,大消费,profitability_growth,profitability_growth,Positive,Growth,0.25
家具,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
家具,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
家电零部件,大消费,RND,RND,Positive,R&D,0.5
家电零部件,大消费,RND_growth,RND_growth,Positive,R&D,0.5
家电零部件,大消费,cashflow_growth_TTM,cashflow_growth,Positive,Growth,0.5
家电零部件,大消费,profitability_growth,profitability_growth,Positive,Growth,0.25
家电零部件,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
家电零部件,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
文娱用品和其他,大消费,ARTOS_TTM,earnings_inflation,Negative,Earnings Management,0.5
文娱用品和其他,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
文娱用品和其他,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
文娱用品和其他,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
文娱用品和其他,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
文娱用品和其他,大消费,RND,RND,Positive,R&D,0.25
文娱用品和其他,大消费,RND_growth,RND_growth,Positive,R&D,0.25
旅游,大消费,sales_growth,sales_growth,Positive,Growth,0.5
旅游,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
旅游,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
旅游,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
旅游,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
旅游,大消费,RND,RND,Positive,R&D,0.25
旅游,大消费,RND_growth,RND_growth,Positive,R&D,0.25
服装家纺,大消费,discrete_accruals,earnings_inflation,Negative,Earnings Management,0.5
服装家纺,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
服装家纺,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
服装家纺,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
服装家纺,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
服装家纺,大消费,RND,RND,Positive,R&D,0.25
服装家纺,大消费,RND_growth,RND_growth,Positive,R&D,0.25
汽车整车,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
汽车整车,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
汽车整车,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.5
汽车整车,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
汽车整车,大消费,RND,RND,Positive,R&D,0.25
汽车整车,大消费,RND_growth,RND_growth,Positive,R&D,0.25
汽车整车,大消费,DebtTA,Solvency,Negative,Solvency,0.25
汽车服务,大消费,DebtTA,Solvency,Negative,Solvency,0.5
汽车服务,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
汽车服务,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
汽车服务,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
汽车服务,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
汽车服务,大消费,RND,RND,Positive,R&D,0.25
汽车服务,大消费,RND_growth,RND_growth,Positive,R&D,0.25
汽车零部件,大消费,TOTALACCRUAL,earnings_inflation,Negative,Earnings Management,0.5
汽车零部件,大消费,RND,RND,Positive,R&D,0.5
汽车零部件,大消费,RND_growth,RND_growth,Positive,R&D,0.5
汽车零部件,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.25
汽车零部件,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.25
汽车零部件,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
汽车零部件,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
珠宝首饰,大消费,DivYield,Dividend_Yield,Positive,Payout,0.5
珠宝首饰,大消费,profitability_TTM,profitability,Positive,Profitability,0.5
珠宝首饰,大消费,RND,RND,Positive,R&D,0.5
珠宝首饰,大消费,RND_growth,RND_growth,Positive,R&D,0.25
珠宝首饰,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.25
珠宝首饰,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.25
珠宝首饰,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
白色家电,大消费,sales_growth,sales_growth,Positive,Growth,0.5
白色家电,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.5
白色家电,大消费,RND,RND,Positive,R&D,0.5
白色家电,大消费,RND_growth,RND_growth,Positive,R&D,0.25
白色家电,大消费,sales,sales,Positive,Sales,0.25
白色家电,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.25
白色家电,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.25
白色家电,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
白酒,大消费,cashflow_growth_TTM,cashflow_growth,Positive,Growth,0.5
白酒,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
白酒,大消费,sales_growth,sales_growth,Positive,Growth,0.5
白酒,大消费,DivYield,Dividend_Yield,Positive,Payout,0.25
白酒,大消费,cashflow_generation_Semi,cashflow_generation,Positive,Profitability,0.25
白酒,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
纺织制造,大消费,discrete_accruals,earnings_inflation,Negative,Earnings Management,0.5
纺织制造,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
纺织制造,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
纺织制造,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
纺织制造,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
纺织制造,大消费,RND,RND,Positive,R&D,0.25
纺织制造,大消费,RND_growth,RND_growth,Positive,R&D,0.25
视听器材,大消费,sales_growth,sales_growth,Positive,Growth,0.5
视听器材,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.5
视听器材,大消费,RND,RND,Positive,R&D,0.5
视听器材,大消费,RND_growth,RND_growth,Positive,R&D,0.25
视听器材,大消费,sales,sales,Positive,Sales,0.25
视听器材,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.25
视听器材,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.25
视听器材,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
调味发酵品,大消费,sales_growth_Semi,sales_growth,Positive,Growth,0.5
调味发酵品,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
调味发酵品,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
调味发酵品,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
调味发酵品,大消费,profitability_TTM,profitability,Positive,Profitability,0.25
调味发酵品,大消费,RND,RND,Positive,R&D,0.25
调味发酵品,大消费,RND_growth,RND_growth,Positive,R&D,0.25
造纸,大消费,profitability_Semi,profitability,Positive,Profitability,0.5
造纸,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
造纸,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.5
造纸,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
酒店、餐饮和其他,大消费,profit_variability,profit_variability,Negative,Earnings Variability,0.5
酒店、餐饮和其他,大消费,cashflow_growth_TTM,cashflow_growth,Positive,Growth,0.5
酒店、餐饮和其他,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.5
酒店、餐饮和其他,大消费,profitability_Semi,profitability,Positive,Profitability,0.25
酒店、餐饮和其他,大消费,RND,RND,Positive,R&D,0.25
酒店、餐饮和其他,大消费,RND_growth,RND_growth,Positive,R&D,0.25
酒店、餐饮和其他,大消费,SPTTM,Valuation,Positive,Valuation,0.25
酒店、餐饮和其他,大消费,sales,sales,Positive,Sales,0.25
酒店、餐饮和其他,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.25
食品综合,大消费,ARTOS_Semi,earnings_inflation,Negative,Earnings Management,0.5
食品综合,大消费,profitability_Semi,profitability,Positive,Profitability,0.5
食品综合,大消费,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.5
食品综合,大消费,profitability_growth_Semi,profitability_growth,Positive,Growth,0.25
食品综合,大消费,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
食品综合,大消费,RND,RND,Positive,R&D,0.25
食品综合,大消费,RND_growth,RND_growth,Positive,R&D,0.25
专业工程,建筑和房地产,profitability_growth_TTM,profitability_growth,Positive,Growth,0.5
专业工程,建筑和房地产,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.5
专业工程,建筑和房地产,profitability_Semi,profitability,Positive,Profitability,0.5
专业工程,建筑和房地产,cashflow_growth_Semi,cashflow_growth,Positive,Growth,0.25
其他建材,建筑和房地产,cashflow_growth,cashflow_growth,Positive,Growth,0.5
其他建材,建筑和房地产,profitability_growth,profitability_growth,Positive,Growth,0.5
其他建材,建筑和房地产,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.5
其他建材,建筑和房地产,profitability,profitability,Positive,Profitability,0.25
其他建材,建筑和房地产,RND,RND,Positive,R&D,0.25
其他建材,建筑和房地产,RND_growth,RND_growth,Positive,R&D,0.25
园区开发,建筑和房地产,DivYield_growth,Dividend_Yield,Positive,Payout,0.5
园区开发,建筑和房地产,cashflow_growth,cashflow_growth,Positive,Growth,0.5
园区开发,建筑和房地产,profitability_growth,profitability_growth,Positive,Growth,0.5
园区开发,建筑和房地产,cashflow_generation_TTM,cashflow_generation,Positive,Profitability,0.25
园区开发,建筑和房地产,profitability_Semi,profitability,Positive,Profitability,0.25
